Epoch,gpu_mem,box,obj,cls,total,targets,img_size,precision,recall,mAP@.5,mAP@.5:.95,val box,val obj,val cls
0,1.37G,0.09182,0.03828,0.02529,0.1554,90,416,0.003795,0.5365,0.007241,0.001074,0.07487,0.02452,0.02214
1,1.65G,0.08274,0.03956,0.02175,0.144,99,416,0.006268,0.5135,0.008946,0.001594,0.07176,0.02479,0.01976
2,1.65G,0.08042,0.04119,0.0203,0.1419,96,416,0.006359,0.5308,0.01505,0.001967,0.07115,0.02506,0.01883
3,1.65G,0.08031,0.04027,0.01908,0.1397,93,416,0.02251,0.2423,0.0129,0.004096,0.07321,0.02378,0.01859
4,1.65G,0.07729,0.04237,0.01886,0.1385,93,416,0.6432,0.1077,0.08018,0.02434,0.06891,0.02558,0.01797
5,1.65G,0.07477,0.04266,0.01795,0.1354,96,416,0.5843,0.1462,0.06559,0.01749,0.06838,0.02448,0.01769
6,1.65G,0.07129,0.04179,0.01883,0.1319,108,416,0.681,0.1615,0.1408,0.04479,0.06617,0.02368,0.01761
7,1.65G,0.06734,0.04184,0.01784,0.127,92,416,0.6998,0.174,0.1799,0.05365,0.06311,0.02449,0.01762
8,1.65G,0.06248,0.04202,0.01806,0.1226,96,416,0.1597,0.3827,0.09998,0.02079,0.06769,0.03225,0.01678
9,1.65G,0.05884,0.04061,0.01829,0.1177,77,416,0.5574,0.1,0.04558,0.00858,0.06569,0.03419,0.01635
10,1.65G,0.05712,0.03868,0.01726,0.1131,107,416,0.6468,0.1538,0.1344,0.02624,0.06076,0.02877,0.01536
11,1.65G,0.05457,0.03733,0.01822,0.1101,98,416,0.6312,0.1385,0.09919,0.02587,0.06475,0.03457,0.0168
12,1.65G,0.0546,0.03585,0.01757,0.108,90,416,0.7401,0.2846,0.2512,0.08383,0.05485,0.02396,0.01453
13,1.65G,0.05318,0.03497,0.01705,0.1052,101,416,0.09096,0.3481,0.09518,0.025,0.05909,0.03463,0.01635
14,1.65G,0.05019,0.03507,0.01701,0.1023,85,416,0.8506,0.2538,0.3778,0.1292,0.05526,0.02607,0.01501
15,1.65G,0.04867,0.03389,0.01759,0.1001,79,416,0.3864,0.6481,0.5063,0.2079,0.04868,0.02106,0.01551
16,1.65G,0.04679,0.03365,0.01683,0.09727,62,416,0.4133,0.6135,0.4625,0.2033,0.04442,0.01954,0.01414
17,1.65G,0.04596,0.0331,0.01654,0.0956,86,416,0.3682,0.609,0.458,0.1836,0.04281,0.02086,0.01358
18,1.65G,0.04517,0.03239,0.01611,0.09366,94,416,0.7342,0.2462,0.2968,0.09348,0.04896,0.03787,0.01409
19,1.65G,0.04447,0.0325,0.01595,0.09293,86,416,0.2824,0.6,0.4472,0.2044,0.04805,0.02102,0.0132
20,1.65G,0.04402,0.03137,0.01484,0.09022,110,416,0.2246,0.6231,0.3932,0.1615,0.04514,0.02103,0.01197
21,1.65G,0.04268,0.03174,0.01442,0.08883,102,416,0.4382,0.5654,0.5035,0.2264,0.04657,0.01853,0.01253
22,1.65G,0.04235,0.03107,0.01318,0.08659,99,416,0.4681,0.7705,0.6998,0.3065,0.04374,0.01714,0.01103
